          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,27642,    0,         0,   274080,10.09 
   LUT as Logic            ,24965,    0,         0,   274080, 9.11 
   LUT as Memory           , 2677,    0,         0,   144000, 1.86 
     LUT as Distributed RAM, 1254,    0,          ,         ,      
     LUT as Shift Register , 1423,    0,          ,         ,      
 CLB Registers             ,43698,    0,         0,   548160, 7.97 
   Register as Flip Flop   ,43698,    0,         0,   548160, 7.97 
   Register as Latch       ,    0,    0,         0,   548160, 0.00 
 CARRY8                    , 1346,    0,         0,    34260, 3.93 
 F7 Muxes                  ,  103,    0,         0,   137040, 0.08 
 F8 Muxes                  ,    0,    0,         0,    68520, 0.00 
 F9 Muxes                  ,    0,    0,         0,    34260, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 48   ,         Yes,          -,         Set 
 8502 ,         Yes,          -,       Reset 
 906  ,         Yes,        Set,           - 
 34242,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 6382,    0,         0,    34260,18.63 
   CLBL                                    , 2839,    0,          ,         ,      
   CLBM                                    , 3543,    0,          ,         ,      
 LUT as Logic                              ,24965,    0,         0,   274080, 9.11 
   using O5 output only                    ,  973,     ,          ,         ,      
   using O6 output only                    ,19308,     ,          ,         ,      
   using O5 and O6                         , 4684,     ,          ,         ,      
 LUT as Memory                             , 2677,    0,         0,   144000, 1.86 
   LUT as Distributed RAM                  , 1254,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   14,     ,          ,         ,      
     using O5 and O6                       , 1240,     ,          ,         ,      
   LUT as Shift Register                   , 1423,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,  983,     ,          ,         ,      
     using O5 and O6                       ,  440,     ,          ,         ,      
 CLB Registers                             ,43698,    0,         0,   548160, 7.97 
   Register driven from within the CLB     ,23188,     ,          ,         ,      
   Register driven from outside the CLB    ,20510,     ,          ,         ,      
     LUT in front of the register is unused,16029,     ,          ,         ,      
     LUT in front of the register is used  , 4481,     ,          ,         ,      
 Unique Control Sets                       , 1503,     ,         0,    68520, 2.19 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,   9,    0,         0,      912, 0.99 
   RAMB36/FIFO*   ,   9,    0,         0,      912, 0.99 
     RAMB36E2 only,   9,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,     1824, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  56,    0,         0,     2520, 2.22 
   DSP48E2 only,  56,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 115,  115,         0,      204,56.37 
 HPIOB_M         ,  49,   49,         0,       72,68.06 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  47,   47,         0,       72,65.28 
   INPUT         ,  23,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   9,    9,         0,       24,37.50 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   5,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_S         ,  10,   10,         0,       24,41.67 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   6,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,  15,   15,         0,       96,15.63 
   DIFFINBUF     ,  15,   15,          ,         ,      
 HPIOBDIFFOUTBUF ,  16,   16,         0,       96,16.67 
   OBUFDS        ,  16,   16,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       60, 0.00 
 BITSLICE_CONTROL,   2,    0,         0,       32, 6.25 
 BITSLICE_RX_TX  ,  48,   48,         0,     1248, 3.85 
   IDELAY        ,  14,   14,          ,         ,      
   OSERDES       ,  20,   20,          ,         ,      
   IDDR          ,  14,   14,          ,         ,      
 BITSLICE_TX     ,   0,    0,         0,       32, 0.00 
 RIU_OR          ,   0,    0,         0,       16, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,   9,    0,         0,      404, 2.23 
   BUFGCE            ,   2,    0,         0,      116, 1.72 
   BUFGCE_DIV        ,   2,    0,         0,       16,12.50 
   BUFG_GT           ,   0,    0,         0,      168, 0.00 
   BUFG_PS           ,   3,    0,         0,       72, 4.17 
   BUFGCTRL*         ,   1,    0,         0,       32, 3.13 
 PLL                 ,   0,    0,         0,        8, 0.00 
 MMCM                ,   0,    0,         0,        4, 0.00 
    Site Type   ,Used,Fixed,Prohibited,Available, Util% 
 GTHE4_CHANNEL  ,   0,    0,         0,       16,  0.00 
 GTHE4_COMMON   ,   0,    0,         0,        4,  0.00 
 OBUFDS_GTE4    ,   0,    0,         0,        8,  0.00 
 OBUFDS_GTE4_ADV,   0,    0,         0,        8,  0.00 
 PS8            ,   1,    0,         0,        1,100.00 
 SYSMONE4       ,   0,    0,         0,        1,  0.00 
  Site Type ,Used,Fixed,Prohibited,Available,Util% 
 BSCANE2    ,   0,    0,         0,        4, 0.00 
 DNA_PORTE2 ,   0,    0,         0,        1, 0.00 
 EFUSE_USR  ,   0,    0,         0,        1, 0.00 
 FRAME_ECCE4,   0,    0,         0,        1, 0.00 
 ICAPE3     ,   0,    0,         0,        2, 0.00 
 MASTER_JTAG,   0,    0,         0,        1, 0.00 
 STARTUPE3  ,   0,    0,         0,        1, 0.00 
  Ref Name , Used,Functional Category 
 FDRE      ,34242,           Register 
 LUT3      , 9142,                CLB 
 FDCE      , 8502,           Register 
 LUT6      , 7536,                CLB 
 LUT2      , 5799,                CLB 
 LUT5      , 3407,                CLB 
 LUT4      , 2781,                CLB 
 RAMD32    , 2180,                CLB 
 SRL16E    , 1542,                CLB 
 CARRY8    , 1346,                CLB 
 LUT1      ,  984,                CLB 
 FDSE      ,  906,           Register 
 SRLC32E   ,  321,                CLB 
 RAMS32    ,  314,                CLB 
 MUXF7     ,  103,                CLB 
 DSP48E2   ,   56,         Arithmetic 
 FDPE      ,   48,           Register 
 IBUFCTRL  ,   40,             Others 
 OBUF      ,   28,                I/O 
 INBUF     ,   25,                I/O 
 OSERDESE3 ,   20,                I/O 
 OBUFDS    ,   16,                I/O 
 DIFFINBUF ,   15,                I/O 
 IDELAYE3  ,   14,                I/O 
 IDDRE1    ,   14,           Register 
 RAMB36E2  ,    9,           BLOCKRAM 
 BUFG_PS   ,    3,              Clock 
 IDELAYCTRL,    2,                I/O 
 BUFGCE_DIV,    2,              Clock 
 BUFGCE    ,    2,              Clock 
 PS8       ,    1,           Advanced 
 BUFGCTRL  ,    1,              Clock 
 Ref Name,Used 
              Ref Name            ,Used 
 system_util_ad9361_divclk_sel_0  ,   1 
 system_util_ad9361_divclk_reset_0,   1 
 system_util_ad9361_divclk_0      ,   1 
 system_util_ad9361_dac_upack_0   ,   1 
 system_util_ad9361_adc_pack_0    ,   1 
 system_util_ad9361_adc_fifo_0    ,   1 
 system_sys_rstgen_0              ,   1 
 system_sys_ps8_0                 ,   1 
 system_rom_0                     ,   1 
 system_bram_ctrl_0               ,   1 
 system_axi_hpc0_interconnect_0   ,   1 
 system_axi_cpu_interconnect_0    ,   1 
 system_axi_ad9361_dac_fifo_0     ,   1 
 system_axi_ad9361_dac_dma_0      ,   1 
 system_axi_ad9361_adc_dma_0      ,   1 
 system_axi_ad9361_1_0            ,   1 
 system_axi_ad9361_0_0            ,   1 
 line_matrix_0                    ,   1 
